FA1,GGBS,SF,MK,FA2,CA,Molarity,NaOH,Na2SiO3,Water,F_V (vol%),F_D,F_L,F_M,days,Tem,Com
184.0,184.0,41.0,0.0,0.0,0.0,14.0,70.0,101.0,0.0,1.5,1.0,50.0,205.0,28.0,20,71.9
500.0,0.0,0.0,0.0,760.0,855.0,14.0,0.0,105.0,145.0,0.0,0.0,0.0,0.0,28.0,20,47.18
500.0,0.0,0.0,0.0,760.0,855.0,14.0,0.0,105.0,145.0,0.5,0.4,20.0,3.0,28.0,20,52.5
340.0,60.0,0.0,0.0,605.5,1122.3,14.0,57.0,143.0,0.0,0.0,0.0,0.0,0.0,28.0,20,49.7
340.0,60.0,0.0,0.0,605.5,1122.3,14.0,69.0,171.0,0.0,1.0,0.55,35.0,205.0,28.0,20,46.8
240.0,160.0,0.0,0.0,630.0,1100.0,14.0,69.0,172.0,0.0,0.0,0.0,0.0,0.0,28.0,20,44.0
240.0,160.0,0.0,0.0,630.0,1100.0,14.0,69.0,172.0,0.0,0.375,0.9,60.0,210.0,28.0,20,64.0
240.0,160.0,0.0,0.0,630.0,1100.0,14.0,69.0,172.0,0.0,0.375,0.66,35.0,210.0,28.0,20,70.0
240.0,160.0,0.0,0.0,630.0,1100.0,14.0,69.0,172.0,0.0,0.75,0.66,35.0,210.0,28.0,20,61.0
240.0,160.0,0.0,0.0,630.0,1100.0,14.0,69.0,172.0,0.0,1.5,0.66,35.0,210.0,28.0,20,62.0
408.0,0.0,0.0,0.0,600.0,1248.0,14.0,41.0,103.0,14.5,0.0,0.0,0.0,0.0,28.0,20,37.0
408.0,0.0,0.0,0.0,600.0,1248.0,14.0,41.0,103.0,16.0,0.25,0.5,30.0,205.0,28.0,20,38.4
408.0,0.0,0.0,0.0,600.0,1248.0,14.0,41.0,103.0,16.0,0.5,0.5,30.0,205.0,28.0,20,41.2
408.0,0.0,0.0,0.0,600.0,1248.0,14.0,41.0,103.0,18.0,0.75,0.5,30.0,205.0,28.0,20,42.5
408.0,0.0,0.0,0.0,600.0,1248.0,14.0,41.0,103.0,18.0,1.0,0.5,30.0,205.0,28.0,20,43.8
455.0,0.0,0.0,0.0,1250.0,0.0,14.0,171.0,171.0,0.0,0.0,0.0,0.0,0.0,28.0,20,30.0
455.0,0.0,0.0,0.0,1250.0,0.0,14.0,171.0,171.0,0.0,0.5,0.179,38.0,20.0,28.0,20,35.0
455.0,0.0,0.0,0.0,1250.0,0.0,14.0,171.0,171.0,0.0,0.75,0.179,38.0,20.0,28.0,20,33.3
455.0,0.0,0.0,0.0,1250.0,0.0,14.0,171.0,171.0,0.0,1.0,0.179,38.0,20.0,28.0,20,33.0
455.0,0.0,0.0,0.0,1250.0,0.0,14.0,171.0,171.0,0.0,0.5,0.117,38.0,10.0,28.0,20,32.5
455.0,0.0,0.0,0.0,1250.0,0.0,14.0,171.0,171.0,0.0,0.75,0.117,38.0,10.0,28.0,20,28.0
455.0,0.0,0.0,0.0,1250.0,0.0,14.0,171.0,171.0,0.0,1.0,0.117,38.0,10.0,28.0,20,25.0
455.0,0.0,0.0,0.0,1250.0,0.0,14.0,171.0,171.0,0.0,0.5,0.02,12.0,80.0,28.0,20,30.7
455.0,0.0,0.0,0.0,1250.0,0.0,14.0,171.0,171.0,0.0,0.75,0.02,12.0,80.0,28.0,20,30.0
455.0,0.0,0.0,0.0,1250.0,0.0,14.0,171.0,171.0,0.0,1.0,0.02,12.0,80.0,28.0,20,27.5
481.0,207.0,0.0,0.0,0.0,502.19,14.0,138.0,276.0,0.0,0.0,0.0,0.0,0.0,7.0,20,4.6
481.0,207.0,0.0,0.0,0.0,502.19,14.0,138.0,276.0,0.0,0.3,0.2,12.0,36.98,7.0,20,8.0
481.0,207.0,0.0,0.0,0.0,502.19,14.0,138.0,276.0,0.0,0.6,0.2,12.0,36.98,7.0,20,7.0
481.0,207.0,0.0,0.0,306.27,351.53,14.0,138.0,276.0,0.0,0.0,0.0,0.0,0.0,7.0,20,5.0
481.0,207.0,0.0,0.0,306.27,351.53,14.0,138.0,276.0,0.0,0.3,0.2,12.0,36.98,7.0,20,8.5
481.0,207.0,0.0,0.0,306.27,351.53,14.0,138.0,276.0,0.0,0.6,0.2,12.0,36.98,7.0,20,7.5
481.0,207.0,0.0,0.0,510.44,251.1,14.0,138.0,276.0,0.0,0.0,0.0,0.0,0.0,7.0,20,9.0
481.0,207.0,0.0,0.0,510.44,251.1,14.0,138.0,276.0,0.0,0.3,0.2,12.0,36.98,7.0,20,13.0
481.0,207.0,0.0,0.0,510.44,251.1,14.0,138.0,276.0,0.0,0.6,0.2,12.0,36.98,7.0,20,12.5
481.0,207.0,0.0,0.0,714.62,150.66,14.0,138.0,276.0,0.0,0.0,0.0,0.0,0.0,7.0,20,15.0
481.0,207.0,0.0,0.0,714.62,150.66,14.0,138.0,276.0,0.0,0.3,0.2,12.0,36.98,7.0,20,19.0
481.0,207.0,0.0,0.0,714.62,150.66,14.0,138.0,276.0,0.0,0.6,0.2,12.0,36.98,7.0,20,17.0
481.0,207.0,0.0,0.0,1020.88,0.0,14.0,138.0,276.0,0.0,0.0,0.0,0.0,0.0,7.0,20,27.0
481.0,207.0,0.0,0.0,1020.88,0.0,14.0,138.0,276.0,0.0,0.3,0.2,12.0,36.98,7.0,20,31.0
481.0,207.0,0.0,0.0,1020.88,0.0,14.0,138.0,276.0,0.0,0.6,0.2,12.0,36.98,7.0,20,29.5
481.0,207.0,0.0,0.0,0.0,502.19,14.0,138.0,276.0,0.0,0.0,0.0,0.0,0.0,28.0,20,7.0
481.0,207.0,0.0,0.0,0.0,502.19,14.0,138.0,276.0,0.0,0.3,0.2,12.0,36.98,28.0,20,10.5
481.0,207.0,0.0,0.0,0.0,502.19,14.0,138.0,276.0,0.0,0.6,0.2,12.0,36.98,28.0,20,7.5
481.0,207.0,0.0,0.0,306.27,351.53,14.0,138.0,276.0,0.0,0.0,0.0,0.0,0.0,28.0,20,7.5
481.0,207.0,0.0,0.0,306.27,351.53,14.0,138.0,276.0,0.0,0.3,0.2,12.0,36.98,28.0,20,11.0
481.0,207.0,0.0,0.0,306.27,351.53,14.0,138.0,276.0,0.0,0.6,0.2,12.0,36.98,28.0,20,8.0
481.0,207.0,0.0,0.0,510.44,251.1,14.0,138.0,276.0,0.0,0.0,0.0,0.0,0.0,28.0,20,11.0
481.0,207.0,0.0,0.0,510.44,251.1,14.0,138.0,276.0,0.0,0.3,0.2,12.0,36.98,28.0,20,13.5
481.0,207.0,0.0,0.0,510.44,251.1,14.0,138.0,276.0,0.0,0.6,0.2,12.0,36.98,28.0,20,13.0
481.0,207.0,0.0,0.0,714.62,150.66,14.0,138.0,276.0,0.0,0.0,0.0,0.0,0.0,28.0,20,17.1
481.0,207.0,0.0,0.0,714.62,150.66,14.0,138.0,276.0,0.0,0.3,0.2,12.0,36.98,28.0,20,19.0
481.0,207.0,0.0,0.0,714.62,150.66,14.0,138.0,276.0,0.0,0.6,0.2,12.0,36.98,28.0,20,18.0
481.0,207.0,0.0,0.0,1020.88,0.0,14.0,138.0,276.0,0.0,0.0,0.0,0.0,0.0,28.0,20,28.0
481.0,207.0,0.0,0.0,1020.88,0.0,14.0,138.0,276.0,0.0,0.3,0.2,12.0,36.98,28.0,20,34.0
